flight_id,date,airline,origin,destination,dep_delay,arr_delay,distance,day_of_week,month,hour,cancelled,diverted,weather_delay,carrier_delay,nas_delay,late_aircraft_delay,is_delayed
23081,2022-01-01,United,IAH,MCO,,,2376,6,1,7,1,0,0.0,0.0,0.0,0.0,
25818,2022-01-01,American,CLT,STL,1.4,-7.0,991,6,1,9,0,0,0.4,0.4,0.3,0.3,0.0
27499,2022-01-01,JetBlue,CLT,MDW,-1.7,19.9,1841,6,1,7,0,0,0.0,0.0,0.0,0.0,1.0
27693,2022-01-01,Southwest,MSP,IAH,11.2,10.0,313,6,1,17,0,0,3.4,2.8,2.2,2.8,0.0
28143,2022-01-01,American,PHX,BNA,-9.6,-12.0,952,6,1,11,0,0,0.0,0.0,0.0,0.0,0.0
28613,2022-01-01,Frontier,DTW,DEN,-2.8,7.0,1402,6,1,17,0,0,0.0,0.0,0.0,0.0,0.0
29032,2022-01-01,United,STL,MDW,8.2,3.8,2580,6,1,7,0,0,2.5,2.0,1.6,2.0,0.0
31066,2022-01-01,Delta,AUS,EWR,-7.7,0.5,760,6,1,15,0,0,0.0,0.0,0.0,0.0,0.0
31711,2022-01-01,American,ORD,SEA,-9.7,-3.2,1884,6,1,19,0,0,0.0,0.0,0.0,0.0,0.0
35078,2022-01-01,Southwest,ORD,LAX,12.3,0.0,1385,6,1,14,0,0,3.7,3.1,2.5,3.1,0.0
38828,2022-01-01,Southwest,PDX,IAH,5.2,4.2,1887,6,1,10,0,0,1.6,1.3,1.0,1.3,0.0
38848,2022-01-01,Delta,HNL,DFW,33.8,44.2,2077,6,1,9,0,0,10.1,8.4,6.8,8.4,1.0
38973,2022-01-01,Alaska,SEA,SFO,1.2,-3.4,585,6,1,13,0,0,0.4,0.3,0.2,0.3,0.0
40158,2022-01-01,American,IAH,BWI,-10.3,1.3,2339,6,1,12,0,0,0.0,0.0,0.0,0.0,0.0
40698,2022-01-01,Southwest,SAN,CLT,2.9,7.2,1182,6,1,7,0,0,0.9,0.7,0.6,0.7,0.0
41078,2022-01-01,United,MDW,EWR,0.3,2.9,1360,6,1,12,0,0,0.1,0.1,0.1,0.1,0.0
42445,2022-01-01,American,PDX,DFW,6.4,12.9,917,6,1,21,0,0,1.9,1.6,1.3,1.6,0.0
43230,2022-01-01,Allegiant,DFW,TPA,20.3,30.2,2061,6,1,20,0,0,6.1,7.1,4.1,3.0,1.0
47283,2022-01-01,American,FLL,CLT,-6.6,-15.9,2353,6,1,8,0,0,0.0,0.0,0.0,0.0,0.0
47499,2022-01-01,Southwest,MCO,IAH,15.6,25.2,2231,6,1,18,0,0,4.7,3.9,3.1,3.9,1.0
48795,2022-01-01,United,EWR,PHX,2.3,0.5,1128,6,1,10,0,0,0.7,0.6,0.5,0.6,0.0
49461,2022-01-01,Alaska,FLL,BNA,0.6,0.6,801,6,1,5,0,0,0.2,0.2,0.1,0.1,0.0
49785,2022-01-01,JetBlue,DEN,MDW,2.0,11.7,1032,6,1,21,0,0,0.6,0.5,0.4,0.5,0.0
49907,2022-01-01,Southwest,MSP,CLT,-14.0,-15.1,2668,6,1,14,0,0,0.0,0.0,0.0,0.0,0.0
145,2022-01-02,American,TPA,IAH,35.4,37.2,2342,7,1,8,0,0,10.6,8.8,7.1,8.8,1.0
188,2022-01-02,United,PHX,SAN,7.6,22.1,2334,7,1,17,0,0,2.3,1.9,1.5,1.9,1.0
1362,2022-01-02,Delta,PDX,IAH,9.0,16.9,1887,7,1,9,0,0,2.7,2.2,1.8,2.2,1.0
1457,2022-01-02,Delta,TPA,MCO,7.0,-7.3,920,7,1,6,0,0,2.1,1.8,1.4,1.7,0.0
1622,2022-01-02,United,DCA,BNA,8.5,-1.0,1529,7,1,12,0,0,2.6,2.1,1.7,2.1,0.0
5078,2022-01-02,Spirit,MDW,MCO,18.2,21.0,1771,7,1,7,0,0,5.5,7.3,3.6,1.8,1.0
10129,2022-01-02,Spirit,BNA,PDX,50.1,62.2,389,7,1,7,0,0,15.0,20.0,10.0,5.0,1.0
10852,2022-01-02,American,MIA,ATL,-9.1,-2.6,1363,7,1,6,0,0,0.0,0.0,0.0,0.0,0.0
14169,2022-01-02,Southwest,DCA,LAS,2.4,9.1,535,7,1,19,0,0,0.7,0.6,0.5,0.6,0.0
15335,2022-01-02,Southwest,SEA,DFW,16.3,18.9,627,7,1,8,0,0,4.9,4.1,3.3,4.1,1.0
18311,2022-01-02,Frontier,DCA,SFO,-4.1,8.5,481,7,1,9,0,0,0.0,0.0,0.0,0.0,0.0
18850,2022-01-02,Frontier,BOS,MSP,9.3,0.6,623,7,1,13,0,0,2.8,3.5,1.9,1.1,0.0
19313,2022-01-02,American,ORD,DEN,49.5,43.2,2257,7,1,14,0,0,14.8,12.4,9.9,12.4,1.0
22493,2022-01-02,Southwest,FLL,MDW,-10.8,-11.3,730,7,1,8,0,0,0.0,0.0,0.0,0.0,0.0
22957,2022-01-02,United,IAH,DEN,22.6,39.0,1174,7,1,22,0,0,6.8,5.6,4.5,5.6,1.0
28502,2022-01-02,Southwest,SLC,CLT,-1.6,1.2,336,7,1,19,0,0,0.0,0.0,0.0,0.0,0.0
30048,2022-01-02,Delta,JFK,HNL,12.0,25.5,2454,7,1,13,0,0,3.6,3.0,2.4,3.0,1.0
30936,2022-01-02,Southwest,ORD,STL,-18.8,-2.4,989,7,1,13,0,0,0.0,0.0,0.0,0.0,0.0
32196,2022-01-02,Southwest,SEA,MDW,23.4,22.7,2188,7,1,17,0,0,7.0,5.8,4.7,5.8,1.0
35637,2022-01-02,Hawaiian,ATL,STL,9.5,8.6,489,7,1,12,0,0,2.8,2.4,1.9,2.4,0.0
38517,2022-01-02,American,SEA,JFK,-5.8,-5.6,440,7,1,0,0,0,0.0,0.0,0.0,0.0,0.0
40506,2022-01-02,American,MSP,PHX,0.3,-18.1,1827,7,1,14,0,0,0.1,0.1,0.1,0.1,0.0
42413,2022-01-02,United,SFO,CLT,13.9,29.9,630,7,1,9,0,0,4.2,3.5,2.8,3.5,1.0
44379,2022-01-02,United,SAN,CLT,8.3,5.7,1182,7,1,16,0,0,2.5,2.1,1.7,2.1,0.0
46087,2022-01-02,JetBlue,ATL,SEA,33.4,13.7,1350,7,1,9,0,0,10.0,8.4,6.7,8.3,0.0
47167,2022-01-02,Southwest,BWI,JFK,17.8,13.5,1018,7,1,12,0,0,5.3,4.4,3.6,4.4,0.0
1136,2022-01-03,JetBlue,HNL,EWR,12.4,18.0,2580,1,1,9,0,0,3.7,3.1,2.5,3.1,1.0
1176,2022-01-03,JetBlue,ORD,MSP,27.0,12.5,721,1,1,21,0,0,8.1,6.8,5.4,6.7,0.0
2924,2022-01-03,United,MDW,FLL,17.3,15.8,2175,1,1,21,0,0,5.2,4.3,3.5,4.3,1.0
3499,2022-01-03,Delta,MCO,SAN,64.9,53.7,731,1,1,11,0,0,19.5,16.2,13.0,16.2,1.0
4906,2022-01-03,United,FLL,SAN,193.8,202.9,1648,1,1,11,0,0,58.1,48.4,38.8,48.4,1.0
7314,2022-01-03,Southwest,BNA,BWI,18.7,23.0,1618,1,1,1,0,0,5.6,4.7,3.7,4.7,1.0
9429,2022-01-03,Southwest,LAX,PHX,,,2545,1,1,17,1,0,0.0,0.0,0.0,0.0,
9754,2022-01-03,Spirit,PHX,DEN,,,1575,1,1,6,1,0,0.0,0.0,0.0,0.0,
10298,2022-01-03,American,SFO,BWI,55.1,57.1,2125,1,1,16,0,0,16.5,13.8,11.0,13.8,1.0
10340,2022-01-03,Alaska,STL,CLT,204.9,202.4,1424,1,1,8,0,0,61.5,51.2,41.0,51.2,1.0
15062,2022-01-03,Southwest,SEA,DFW,40.2,46.4,627,1,1,6,0,0,12.1,10.0,8.0,10.0,1.0
15242,2022-01-03,Delta,DCA,CLT,-11.2,-12.4,1629,1,1,9,0,0,0.0,0.0,0.0,0.0,0.0
17189,2022-01-03,United,EWR,BNA,1.6,-10.4,400,1,1,13,0,0,0.5,0.4,0.3,0.4,0.0
19640,2022-01-03,Hawaiian,SAN,MSP,-2.2,-9.7,1891,1,1,6,0,0,0.0,0.0,0.0,0.0,0.0
22467,2022-01-03,JetBlue,DEN,DCA,26.5,38.7,525,1,1,16,0,0,8.0,6.6,5.3,6.6,1.0
26076,2022-01-03,American,CLT,DCA,105.6,109.6,1290,1,1,21,0,0,31.7,26.4,21.1,26.4,1.0
26467,2022-01-03,American,HNL,MIA,1.1,7.5,605,1,1,13,0,0,0.3,0.3,0.2,0.3,0.0
27631,2022-01-03,Hawaiian,SAN,BOS,-5.4,-9.7,1604,1,1,15,0,0,0.0,0.0,0.0,0.0,0.0
29645,2022-01-03,American,SFO,IAH,-0.2,-1.8,2164,1,1,9,0,0,0.0,0.0,0.0,0.0,0.0
30009,2022-01-03,United,LAS,FLL,-9.2,-24.3,270,1,1,7,0,0,0.0,0.0,0.0,0.0,0.0
31113,2022-01-03,Hawaiian,TPA,ATL,37.5,28.8,348,1,1,19,0,0,11.2,9.4,7.5,9.4,1.0
32743,2022-01-03,American,LAX,DFW,22.0,31.0,829,1,1,13,0,0,6.6,5.5,4.4,5.5,1.0
33654,2022-01-03,JetBlue,ORD,STL,1.0,1.6,989,1,1,11,0,0,0.3,0.2,0.2,0.2,0.0
34134,2022-01-03,Frontier,PDX,DFW,1.8,-7.6,917,1,1,20,0,0,0.5,0.7,0.4,0.2,0.0
34715,2022-01-03,Southwest,LAX,MCO,20.8,29.7,386,1,1,13,0,0,6.2,5.2,4.2,5.2,1.0
34721,2022-01-03,Frontier,LAX,DCA,11.1,33.1,1040,1,1,12,0,0,3.3,4.2,2.2,1.3,1.0
38661,2022-01-03,Allegiant,LAS,FLL,-11.3,-9.6,270,1,1,19,0,0,0.0,0.0,0.0,0.0,0.0
38674,2022-01-03,JetBlue,SFO,TPA,25.9,-1.9,962,1,1,15,0,0,7.8,6.5,5.2,6.5,0.0
39993,2022-01-03,United,FLL,DCA,23.0,24.3,813,1,1,5,0,0,6.9,5.8,4.6,5.7,1.0
41261,2022-01-03,Hawaiian,ORD,MDW,18.1,22.4,2193,1,1,19,0,0,5.4,4.5,3.6,4.5,1.0
42876,2022-01-03,Allegiant,MDW,ATL,14.0,8.1,417,1,1,8,0,0,4.2,4.9,2.8,2.1,0.0
43421,2022-01-03,American,ORD,JFK,6.2,-4.0,1880,1,1,6,0,0,1.9,1.6,1.2,1.5,0.0
43829,2022-01-03,JetBlue,STL,DCA,11.4,13.8,1251,1,1,15,0,0,3.4,2.8,2.3,2.8,0.0
43882,2022-01-03,American,STL,AUS,48.6,35.2,254,1,1,15,0,0,14.6,12.2,9.7,12.1,1.0
44185,2022-01-03,Southwest,TPA,BNA,45.4,53.4,2317,1,1,17,0,0,13.6,11.4,9.1,11.3,1.0
45454,2022-01-03,American,ORD,FLL,-2.3,-8.7,771,1,1,15,0,0,0.0,0.0,0.0,0.0,0.0
47592,2022-01-03,United,DFW,AUS,2.8,0.2,1382,1,1,17,0,0,0.8,0.7,0.6,0.7,0.0
47739,2022-01-03,Southwest,MIA,FLL,37.9,40.4,997,1,1,14,0,0,11.4,9.5,7.6,9.5,1.0
47783,2022-01-03,American,ORD,DTW,-8.4,-4.4,1273,1,1,5,0,0,0.0,0.0,0.0,0.0,0.0
721,2022-01-04,Delta,JFK,CLT,8.8,17.7,974,2,1,8,0,0,2.6,2.2,1.8,2.2,1.0
988,2022-01-04,United,LAS,ATL,-13.4,-22.9,466,2,1,6,0,0,0.0,0.0,0.0,0.0,0.0
4308,2022-01-04,Allegiant,PDX,LAS,-6.0,-0.4,2425,2,1,7,0,0,0.0,0.0,0.0,0.0,0.0
5512,2022-01-04,Southwest,JFK,SFO,15.6,37.5,1486,2,1,5,0,0,4.7,3.9,3.1,3.9,1.0
8013,2022-01-04,Allegiant,AUS,MDW,0.5,1.5,2538,2,1,17,0,0,0.2,0.2,0.1,0.1,0.0
10078,2022-01-04,Spirit,AUS,IAH,1.4,7.2,798,2,1,6,0,0,0.4,0.6,0.3,0.1,0.0
12698,2022-01-04,American,MCO,BWI,64.0,43.8,714,2,1,14,0,0,19.2,16.0,12.8,16.0,1.0
13260,2022-01-04,Delta,FLL,MIA,-8.0,-10.4,1813,2,1,11,0,0,0.0,0.0,0.0,0.0,0.0
14597,2022-01-04,Southwest,DFW,MSP,2.2,7.4,373,2,1,7,0,0,0.7,0.6,0.4,0.5,0.0
16855,2022-01-04,Delta,BNA,DEN,-9.3,-6.8,1675,2,1,15,0,0,0.0,0.0,0.0,0.0,0.0
17112,2022-01-04,Frontier,ATL,PDX,6.8,18.8,1469,2,1,2,0,0,2.0,2.6,1.4,0.8,1.0
17193,2022-01-04,Delta,TPA,SEA,-18.5,-29.6,2012,2,1,17,0,0,0.0,0.0,0.0,0.0,0.0
17622,2022-01-04,United,BOS,ATL,-13.9,-23.1,1316,2,1,9,0,0,0.0,0.0,0.0,0.0,0.0
19014,2022-01-04,Delta,JFK,HNL,21.6,32.4,2454,2,1,16,0,0,6.5,5.4,4.3,5.4,1.0
19550,2022-01-04,American,ATL,LAX,-1.7,-5.3,1974,2,1,8,0,0,0.0,0.0,0.0,0.0,0.0
21814,2022-01-04,American,DEN,IAH,62.2,53.5,907,2,1,11,0,0,18.7,15.6,12.4,15.5,1.0
21903,2022-01-04,JetBlue,LAX,TPA,58.1,54.4,2080,2,1,17,0,0,17.4,14.5,11.6,14.5,1.0
22735,2022-01-04,JetBlue,IAH,DEN,-9.1,-4.9,1174,2,1,4,0,0,0.0,0.0,0.0,0.0,0.0
23826,2022-01-04,Spirit,MDW,PDX,-3.6,-7.2,2589,2,1,13,0,0,0.0,0.0,0.0,0.0,0.0
25052,2022-01-04,American,ORD,MIA,29.0,32.7,2357,2,1,14,0,0,8.7,7.2,5.8,7.2,1.0
25870,2022-01-04,American,DFW,PDX,16.5,28.1,1580,2,1,19,0,0,5.0,4.1,3.3,4.1,1.0
26382,2022-01-04,Spirit,EWR,SAN,6.5,7.4,1265,2,1,22,0,0,2.0,2.6,1.3,0.6,0.0
27181,2022-01-04,Delta,PDX,AUS,0.2,-1.5,448,2,1,7,0,0,0.1,0.0,0.0,0.0,0.0
30008,2022-01-04,Southwest,DFW,PDX,11.0,18.9,1580,2,1,15,0,0,3.3,2.8,2.2,2.7,1.0
31927,2022-01-04,Delta,DFW,STL,8.2,21.2,1872,2,1,8,0,0,2.5,2.0,1.6,2.0,1.0
32190,2022-01-04,Delta,BOS,TPA,-6.5,-8.0,1909,2,1,7,0,0,0.0,0.0,0.0,0.0,0.0
33412,2022-01-04,American,PHX,HNL,28.8,21.6,1665,2,1,21,0,0,8.6,7.2,5.8,7.2,1.0
33713,2022-01-04,JetBlue,BWI,TPA,109.5,117.5,2086,2,1,13,0,0,32.8,27.4,21.9,27.4,1.0
34133,2022-01-04,Southwest,EWR,JFK,3.1,15.0,2688,2,1,13,0,0,0.9,0.8,0.6,0.8,0.0
34724,2022-01-04,Frontier,IAH,SLC,39.7,55.6,2586,2,1,22,0,0,11.9,15.1,7.9,4.8,1.0
35596,2022-01-04,United,BNA,MSP,2.9,12.3,645,2,1,12,0,0,0.9,0.7,0.6,0.7,0.0
35823,2022-01-04,United,EWR,BOS,-16.1,-15.0,1509,2,1,4,0,0,0.0,0.0,0.0,0.0,0.0
37566,2022-01-04,Delta,BOS,SLC,22.9,11.9,836,2,1,16,0,0,6.9,5.7,4.6,5.7,0.0
38089,2022-01-04,Southwest,MCO,LAX,,,575,2,1,6,1,0,0.0,0.0,0.0,0.0,
39552,2022-01-04,Southwest,STL,MCO,24.2,15.5,2356,2,1,19,0,0,7.3,6.0,4.8,6.0,1.0
43364,2022-01-04,Southwest,DFW,PDX,21.3,4.0,1580,2,1,19,0,0,6.4,5.3,4.3,5.3,0.0
44323,2022-01-04,JetBlue,CLT,MSP,-6.2,-0.4,2245,2,1,12,0,0,0.0,0.0,0.0,0.0,0.0
44589,2022-01-04,Delta,DFW,SAN,5.3,2.5,1554,2,1,19,0,0,1.6,1.3,1.1,1.3,0.0
44835,2022-01-04,American,TPA,PHX,12.8,19.5,1775,2,1,19,0,0,3.8,3.2,2.6,3.2,1.0
44859,2022-01-04,United,DFW,MCO,,,2588,2,1,6,1,0,0.0,0.0,0.0,0.0,
46597,2022-01-04,Frontier,DEN,CLT,7.6,9.3,2429,2,1,21,0,0,2.3,2.9,1.5,0.9,0.0
47702,2022-01-04,United,ATL,FLL,-5.4,-16.2,1176,2,1,19,0,0,0.0,0.0,0.0,0.0,0.0
49526,2022-01-04,American,MSP,DEN,9.0,18.8,1071,2,1,5,0,0,2.7,2.2,1.8,2.2,1.0
49730,2022-01-04,Southwest,CLT,BNA,7.8,11.9,1133,2,1,14,0,0,2.3,2.0,1.6,1.9,0.0
307,2022-01-05,United,PDX,BOS,22.6,6.5,2572,3,1,15,0,0,6.8,5.6,4.5,5.6,0.0
771,2022-01-05,American,MDW,SEA,-7.7,-11.6,1175,3,1,11,0,0,0.0,0.0,0.0,0.0,0.0
2909,2022-01-05,Delta,PDX,BWI,-0.3,5.9,1328,3,1,18,0,0,0.0,0.0,0.0,0.0,0.0
4007,2022-01-05,Delta,DCA,PDX,-14.4,-23.3,2180,3,1,16,0,0,0.0,0.0,0.0,0.0,0.0
5421,2022-01-05,Delta,LAS,MSP,6.0,0.2,2413,3,1,17,0,0,1.8,1.5,1.2,1.5,0.0
8944,2022-01-05,American,SAN,BNA,-2.4,7.6,278,3,1,6,0,0,0.0,0.0,0.0,0.0,0.0
11024,2022-01-05,United,IAH,HNL,11.8,8.1,1958,3,1,11,0,0,3.5,3.0,2.4,2.9,0.0
11694,2022-01-05,Southwest,SLC,BNA,-2.2,4.3,237,3,1,17,0,0,0.0,0.0,0.0,0.0,0.0
14720,2022-01-05,Alaska,BNA,MDW,18.3,30.6,332,3,1,21,0,0,5.5,4.6,3.7,4.6,1.0
16182,2022-01-05,Delta,PHX,DEN,12.8,18.6,1575,3,1,16,0,0,3.8,3.2,2.6,3.2,1.0
17182,2022-01-05,JetBlue,SFO,LAS,32.0,22.4,486,3,1,12,0,0,9.6,8.0,6.4,8.0,1.0
17204,2022-01-05,Hawaiian,MSP,ATL,-5.5,3.2,1403,3,1,21,0,0,0.0,0.0,0.0,0.0,0.0
17704,2022-01-05,American,SLC,CLT,,,336,3,1,17,1,0,0.0,0.0,0.0,0.0,
18926,2022-01-05,United,AUS,DEN,,,407,3,1,13,1,0,0.0,0.0,0.0,0.0,
23037,2022-01-05,United,MIA,DCA,46.3,57.3,2180,3,1,15,0,0,13.9,11.6,9.3,11.6,1.0
23271,2022-01-05,Southwest,MIA,MSP,8.0,-1.4,870,3,1,11,0,0,2.4,2.0,1.6,2.0,0.0
23614,2022-01-05,United,PDX,ATL,9.1,9.9,1207,3,1,7,0,0,2.7,2.3,1.8,2.3,0.0
24407,2022-01-05,United,DCA,MSP,-6.0,-11.5,1592,3,1,11,0,0,0.0,0.0,0.0,0.0,0.0
25803,2022-01-05,Delta,SLC,TPA,-0.7,8.8,2213,3,1,8,0,0,0.0,0.0,0.0,0.0,0.0
29214,2022-01-05,Frontier,LAS,BOS,-3.8,5.2,1116,3,1,8,0,0,0.0,0.0,0.0,0.0,0.0
29627,2022-01-05,Southwest,ATL,MCO,-13.5,-1.3,1635,3,1,13,0,0,0.0,0.0,0.0,0.0,0.0
29923,2022-01-05,Alaska,MDW,DTW,20.1,16.8,2672,3,1,23,0,0,6.0,5.0,4.0,5.0,1.0
32077,2022-01-05,Southwest,MDW,PHX,-2.0,-11.9,1848,3,1,17,0,0,0.0,0.0,0.0,0.0,0.0
32717,2022-01-05,Alaska,MIA,BOS,26.1,27.1,571,3,1,17,0,0,7.8,6.5,5.2,6.5,1.0
35490,2022-01-05,United,SFO,PHX,11.5,14.2,2157,3,1,19,0,0,3.4,2.9,2.3,2.9,0.0
38247,2022-01-05,United,ORD,PHX,-15.8,2.5,1931,3,1,6,0,0,0.0,0.0,0.0,0.0,0.0
38960,2022-01-05,Delta,TPA,EWR,13.7,1.5,951,3,1,2,0,0,4.1,3.4,2.7,3.4,0.0
40330,2022-01-05,Allegiant,SLC,LAS,-7.6,-9.3,340,3,1,15,0,0,0.0,0.0,0.0,0.0,0.0
40829,2022-01-05,Spirit,HNL,MSP,101.4,100.3,655,3,1,10,0,0,30.4,40.6,20.3,10.1,1.0
40883,2022-01-05,Frontier,DFW,BOS,,,659,3,1,5,1,0,0.0,0.0,0.0,0.0,
41859,2022-01-05,American,JFK,FLL,,,2153,3,1,14,1,0,0.0,0.0,0.0,0.0,
42254,2022-01-05,United,DEN,SEA,-7.1,-5.2,871,3,1,11,0,0,0.0,0.0,0.0,0.0,0.0
42711,2022-01-05,Delta,LAS,SAN,-5.6,-4.2,1315,3,1,15,0,0,0.0,0.0,0.0,0.0,0.0
44217,2022-01-05,JetBlue,DCA,ATL,0.6,11.4,2586,3,1,9,0,0,0.2,0.2,0.1,0.1,0.0
46539,2022-01-05,Southwest,IAH,SLC,-7.4,-24.3,2586,3,1,10,0,0,0.0,0.0,0.0,0.0,0.0
46827,2022-01-05,Delta,FLL,DFW,7.1,12.7,1220,3,1,17,0,0,2.1,1.8,1.4,1.8,0.0
47372,2022-01-05,American,ORD,HNL,-14.0,-8.7,836,3,1,6,0,0,0.0,0.0,0.0,0.0,0.0
47693,2022-01-05,Alaska,STL,BNA,3.1,-1.9,2077,3,1,19,0,0,0.9,0.8,0.6,0.8,0.0
47959,2022-01-05,JetBlue,MIA,IAH,-5.1,11.2,995,3,1,9,0,0,0.0,0.0,0.0,0.0,0.0
48016,2022-01-05,Southwest,DEN,PDX,33.1,40.1,838,3,1,10,0,0,9.9,8.3,6.6,8.3,1.0
48114,2022-01-05,Delta,ATL,SFO,-11.9,-37.5,862,3,1,20,0,0,0.0,0.0,0.0,0.0,0.0
718,2022-01-06,United,PHX,BWI,19.8,30.7,1407,4,1,6,0,0,5.9,5.0,4.0,4.9,1.0
3826,2022-01-06,Delta,JFK,LAX,8.4,31.8,2323,4,1,19,0,0,2.5,2.1,1.7,2.1,1.0
4063,2022-01-06,American,PDX,MCO,8.6,8.0,407,4,1,11,0,0,2.6,2.2,1.7,2.1,0.0
4137,2022-01-06,Delta,DEN,SFO,19.8,27.8,441,4,1,2,0,0,5.9,5.0,4.0,4.9,1.0
6004,2022-01-06,American,ORD,ATL,36.2,27.7,2372,4,1,15,0,0,10.9,9.0,7.2,9.0,1.0
7638,2022-01-06,Hawaiian,IAH,HNL,12.7,29.9,1958,4,1,20,0,0,3.8,3.2,2.5,3.2,1.0
10096,2022-01-06,Allegiant,ORD,BNA,3.3,0.6,1928,4,1,12,0,0,1.0,1.2,0.7,0.5,0.0
11004,2022-01-06,Delta,MSP,JFK,-1.6,1.0,1059,4,1,10,0,0,0.0,0.0,0.0,0.0,0.0
11775,2022-01-06,Delta,PDX,BOS,0.6,1.6,2572,4,1,20,0,0,0.2,0.2,0.1,0.1,0.0
16256,2022-01-06,Hawaiian,SEA,DCA,-4.9,1.6,2008,4,1,18,0,0,0.0,0.0,0.0,0.0,0.0
18177,2022-01-06,American,LAX,DTW,-4.9,-7.0,1725,4,1,18,0,0,0.0,0.0,0.0,0.0,0.0
18390,2022-01-06,Southwest,EWR,IAH,68.8,71.0,1793,4,1,4,0,0,20.6,17.2,13.8,17.2,1.0
19434,2022-01-06,United,SEA,PDX,,,2126,4,1,19,1,0,0.0,0.0,0.0,0.0,
21037,2022-01-06,Delta,DFW,BOS,2.1,14.7,659,4,1,7,0,0,0.6,0.5,0.4,0.5,0.0
22167,2022-01-06,Delta,DEN,SFO,15.9,19.8,441,4,1,16,0,0,4.8,4.0,3.2,4.0,1.0
26348,2022-01-06,American,TPA,LAS,-15.4,-15.0,2457,4,1,7,0,0,0.0,0.0,0.0,0.0,0.0
26484,2022-01-06,JetBlue,ORD,ATL,-19.0,-6.7,2372,4,1,13,0,0,0.0,0.0,0.0,0.0,0.0
27807,2022-01-06,Delta,HNL,DEN,-0.8,3.8,1602,4,1,6,0,0,0.0,0.0,0.0,0.0,0.0
